area_detail,ward_name
"ankappa reddy layout, vinayaka layout, pwd road, lakshmi layout, nagareddy layout, abbaiah reddy layout, vignanagar, ramaiah reddy colony abc sector, veerabhadra nagar, talakavery layout, kalappa layout, basavanagar main road, vibhuthipura, lbs nagar shivanandanagar",unknown
"mahadevapura, pwd road, motappa layout, ranganatha layout, anugraha layout,kgf munireddy layout,  anka reddy layout, chinnappa layout.",unknown
"rameshnagar, vinayakanagar, vibhuthipura, annasandrapalya, islampura, jagadishnagar, reddypalya, nellur pura, jyothinagar, lbs nagar.",unknown
"pragathi layout, gururaja layout, balaji enclave, manjunath nagar.",unknown
"anand nagar. karthik nagar, lrde layout, vasa layout, govt.school road, bank road, raghu ram reddy layout.",unknown
"nisarga layout, ak colony, muneshwara colony shangbag layout, post office road.",unknown
bahubali nagar bovicolony,bapujinagar
yashavanthapura railways,vasanthapura
jallahalli villege sharadamba nagar,jayachamarajendra nagar
peenya villege 1st block & 4th block,peenya industrial area
ayyappa nagar thannira halli meetr balc flow,yelahanka satellite town
siddartha nagra (slum) meter,shanthala nagar
jb kaval slum abbigere main road 1st cross 4th cross,unknown
jb kaval slum  5th cross to 12th cross,unknown
sheeram layout gurunatha layout rama temple,dattathreya temple
mnt waimack appyy layout,btm layout
sharadamb nagar i.s.r.o. bulk,shanthala nagar
vishweshwarayya layout,hsr layout
ragavendra layout .lakwive layout. kaivara layout,unknown
"st merry ""s school. 1st to 4th cross 1 st cross  kalyana nagar",unknown
1st main 6th cross 5th cross t.d.halli,unknown
k.k.road (left & right side),unknown
4th & 5th cross maheshwari nagar 1st .2nd.6th&7th cross,unknown
maheshwari nagar 1st .2nd.cross  egal bekary road,unknown
t.d.halli 1 to 6th cross,t. dasarahalli
t.d.halli 4 to 5th  6thcross,unknown
mts colony t.d.halli,t. dasarahalli
mts colony 3rd main (left & righ side),unknown
coconut garden  t.d.halli near dharamasthala hotel,unknown
dasarahalli old villege,t. dasarahalli
k.k.road  2nd cross /srs road,unknown
ganesh sawmill road /joshi road t dasarahalli,agrahara dasarahalli
ammaji chautry back side,mahalakshmipuram
5th mai bhuvaneshwari nagra aspen aprment,muneshwaranagar
st marks school road,unknown
6th mai bhuvaneshwari nagra,muneshwaranagar
2nd cross 6tha main 6th b main.,unknown
5th main 4th cross (sbiroad),maruthi mandira ward
5&6th cross bhuvaneshwari nagra,muneshwaranagar
kempegowda nagar 1st to 4th cross,kempegowda ward
kempegowda nagar  3rd main 1st & 3rd cross egal bekary road,unknown
3rd main kgnagar opp/;library  maheshwramma temple area /6th cross 3rd main k g halli,unknown
officers model colony/kalastri nagar/ execl kalyana mantapa road/ grape garden/ nrupathunga road/ramesh road /urdhu school road/ pampa mahakavi road /krishne gowda layout /kalastri nagar slum,unknown
1st to 4th cross krishna gowda nagar main road kempegowda nagar/ragimill road bhuvaneshwari nagar,unknown
"8th main, 11th cross, bhuvaneshwari nagar",muneshwaranagar
"8th main, 10th cross, bhuvaneshwari nagar",muneshwaranagar
"8th main, 9th cross, bhuvaneshwari nagar",muneshwaranagar
"8th main, 22nd cross, bhuvaneshwari nagar",muneshwaranagar
"8th main, 24th  cross, bhuvaneshwari nagar",muneshwaranagar
"opp. shanimahatam temple, pipe line",dharmarayaswamy temple ward
opp. lakshmi condiments pipe line,lakshmidevinagar
"8th cross, bhuvaneshwari nagar",muneshwaranagar
"5th cross, bhuvaneshwari nagar",muneshwaranagar
"4th cross, bhuvaneshwari nagar",muneshwaranagar
"3rd cross, bhuvaneshwari nagar",muneshwaranagar
"1st cross, bhuvaneshwari nagar",muneshwaranagar
"lakshmi temple, pipe line, kalyan nagar",lakshmidevinagar
"14th cross, pipe line, kalyan nagar",hoysalanagar
"10th cross, pipe line, kalyan nagar",hoysalanagar
behind kalamaliyamma temple,dattathreya temple
"10th main, 6th cross, kalyan nagar",hoysalanagar
"lakshmi temple, pipe line,",radhakrishna temple ward
"4th main, 7th cross, ravindra nagar",jayachamarajendra nagar
"4th main, 11th to 14th cross, ravindra nagar/ ayyappa nagar",unknown
"4th main, 15th and 16th cross, ravindra nagar/ ayyappa layout, 11th, 12th, 13th cross",unknown
"4th main, 5th & 6th  cross, ravindra nagar",jayachamarajendra nagar
"4th main, ravindra nagar, 19th to 23rd cross",jayachamarajendra nagar
"3rd main,  reddy layout, ravindra nagar",maruthiseva nagar
"2nd main, 7th to 10th cross ravindra nagar, reddy layout",unknown
"2nd main, 1st to 6th cross ravindra nagar, reddy layout",unknown
10th cross ayyappa layout 1st to 4th cross vijayalakshmi layout,unknown
"near shooting banglow, 1st to 4th cross, vijayalakshmi layout",unknown
"1st main, 15th cross, prashanth nagar, kalyan nagar",unknown
"1st main, 1st to 14th cross, prashanth nagar, kalyan nagar",unknown
"1st main, 3rd cross, prashanth nagar, downwords 1st main, kalyan nagar",unknown
"1st main, 7th to 10th  cross, prashanth nagar",shanthala nagar
"1st main, 11th to 14th  cross, prashanth nagar",unknown
"2nd main,5th to 6th cross, kalyan nagar",hoysalanagar
"2nd main, 11th to 14th cross, kalyan nagar",hoysalanagar
"10th cross, prashanth nagar",shanthala nagar
"11th cross,  prashanth nagar",shanthala nagar
"12th cross,  prashanth nagar",shanthala nagar
"13th cross,  prashanth nagar",shanthala nagar
"17th cross, geetha school road, prashanth nagar",unknown
"pipe line 7th to 10th cross, prashanth nagar",shanthala nagar
"near karumariyamma temple, 7th to 10th cross, prashanth nagar",dharmarayaswamy temple ward
"10th to 19th cross bhel mini colony, kodava samja",unknown
"near mallikarjuna temple, bhel mini colony,",radhakrishna temple ward
"mantappa road, mallasandra,",mallasandra
"1st cross, shanthi layout",nandini layout
"lake view defence main road, near ex mla house,",unknown
"opp, booster pump, pipe line, muneshwara block",unknown
"4th main, 4th cross , ravindra nagar",jayachamarajendra nagar
9th cross santhosh nagar,shanthala nagar
"8th cross, cross santhosh nagar",shanthala nagar
7th cross santhosh nagar,shanthala nagar
6th cross santhosh nagar,shanthala nagar
5th cross santhosh nagar,shanthala nagar
4th cross santhosh nagar,shanthala nagar
"2nd to 5th cross near attilakkamma temple, mallasandra",chikkallasandra
"3rd cross, mallasandra",mallasandra
"2nd cross, mallasandra",mallasandra
near kuvempu collage side roads,kuvempunagar
"near sri rama temple near water tank, mallasandra",banashankari temple ward
"new cambridge school road ashwath katte, mallasandra",unknown
"vivekananda road, mallasandra",mallasandra
"main road, mallasandra, near narayanappa house near garage, shetti halli main road",unknown
"shetti halli cross  anjaneya temple, near anand house mallsandra, near henchina mane hotel, mallasandra",unknown
