Area Wise Water Supply timings ,,,,,
SI NO,Subdivision,service Station,Area(in Detail),Days of Supply,Timings
112,,,"Raghavappa road 8th Cross, Kandaswamy Garden, Marry Street, Krishnappa lane 2nd, 3rd, 4th, 5th, 6th and 7th Cross, Rose Garden, K R Garden 2nd Stage, Jeevanahalli Main Road, Chinnappa Line 1st,2nd, 3rd Cross, 7th Cross Cox Town Doddigunte ",, 12:00 pm to 12:00am
113,,,"Vivekananada nagar and Jaibharthangar 1st, 2nd, 3rd and 4thCross, Shaw layout",Monday, 0:00am to 6:00am
114,,,Kathalipalya,,0:00am to 12:00am
115,,,"KHB Qtrs, Kateramma Slum in Cox town",,6:00am to 9:00am
116,,,7th Cross in Cox town,, 9:00am to  12:00am
117,,,"PSK Naidu road, G Muniyamma Garden, Rayappa Garden, Mudappa Garden, Mudamma Garden, Nanjundappa Garden, Rangamma Garden and N C Colony in  Cox Town",,6:00pm to 12:00am
118,,,Chettappa Garden,,9:00pm to  12:00am
119,,,"De costa Square, Wheeler road extension, C K Garden, Hutchins road and Cross roads, Thomas town, Ashoka road, North road",,0:00am to Mon 12:00am
120,,,"De costa Layout, Balaji layout, Wheeler road, Davis road, Ashoka extension, C K Garden, Hutchins road and Cross roads, Thomas town, Ashoka road, Lazer road, Gangmen Qtrs, Bsnl office, and Railway parallel road Cox town",,0:00am to Mon 12:00am
121,,,"Milton Street, High Street, Carlston Street, Llyod road, Lewis road,  Mc pherson road, etc Cooke's Town",,0:00am to Mon 12:00am
122,,,"Muniga Layout, Venkataramanppa layout, Delhi Narayanappa Layout , Thyagaraj Layout, Sanjeevappa Layout",,0:00am to  6:00am
123,,," 7th,6th,5th,4th,3rd,2nd and 1st Cross Itc colony Jeevanahalli, K R Garden, Park road, AK Colony, Charles Campbel Road, Ramakrishnappa Road Cox Town",,6:00am to  6:00pm
124,,,Kadirappa road 5th and 6th Cross Cox Town,,9:00am to 3:00pm
125,,,Mudamma Garden,,6:00pm to  9:00pm
126,,,"5th, 6th, 7th, 7th A, 16th B cross,Visveshwaraiah road, Ragavappa road, Mudappa road, Kemapanna raod, Venkataramanappa road, Kullappa road, Mariyamma temple Street , Subaraju road, SarSwathama road",, 9:00pm to 12:00am
127,East-1,HBR,"HBR Layout, 1st Block to 5th Block",Monday,3:00 AM-9:00 AM
128,,,Narwara CMC areas,,8:00 AM-8:PM
129,,LRP,"HRBR 3rd Block, K K Halli & surrounding areas",,10AM to 8PM
130,,,Lingarajpuram Village,,"10PM(Sun Night)
 to 10PM"
131,, HRBR,HRBR I &II block,,3AM to 10AM
132,,OMBR,"RS Palya , ITC Road & Kullappa  circle (up)",,10AM to 5PM
133,, HRBR,Kammanahalli,,6PM to 10PM
134,,OMBR,OMBR layout,Tuesday,11 PM(Mon Night)-10:00 AM
135,,,"Kasturinagar, East of NGEF layout, B channasandra, Dr. layout, Lal bhaddur nagar",,10:00 AM-8:30 PM
136,,, Banasawadi village downside,,4:00 PM-9:30 PM
