Area Wise Water Supply timings ,,,,,
SI NO,Subdivision,service Station,Area(in Detail),Days of Supply,Timings
225,,,"ANKAPPA REDDY LAYOUT, VINAYAKA LAYOUT, PWD ROAD, LAKSHMI LAYOUT, NAGAREDDY LAYOUT, ABBAIAH REDDY LAYOUT, VIGNANAGAR, RAMAIAH REDDY COLONY ABC SECTOR, VEERABHADRA NAGAR, TALAKAVERY LAYOUT, KALAPPA LAYOUT, BASAVANAGAR MAIN ROAD, VIBHUTHIPURA, LBS NAGAR SHIVANANDANAGAR",,10.30 Am to 9.0 Pm
226,,,"MAHADEVAPURA, PWD ROAD, MOTAPPA LAYOUT, RANGANATHA LAYOUT, ANUGRAHA LAYOUT,KGF MUNIREDDY LAYOUT,  ANKA REDDY LAYOUT, CHINNAPPA LAYOUT.",,10.30 Am to 9.0 Pm
227,,HAL Service Station,"RAMESHNAGAR, VINAYAKANAGAR, VIBHUTHIPURA, ANNASANDRAPALYA, ISLAMPURA, JAGADISHNAGAR, REDDYPALYA, NELLUR PURA, JYOTHINAGAR, LBS NAGAR.",,10.0 Am to 12.0 Pm
228,,,"PRAGATHI LAYOUT, GURURAJA LAYOUT, BALAJI ENCLAVE, MANJUNATH NAGAR.",,8.0 Pm to 5.30 Am
229,,,"ANAND NAGAR. KARTHIK NAGAR, LRDE LAYOUT, VASA LAYOUT, GOVT.SCHOOL ROAD, BANK ROAD, RAGHU RAM REDDY LAYOUT.",,8.0 Pm to 5.30 Am
230,,,"NISARGA LAYOUT, AK COLONY, MUNESHWARA COLONY SHANGBAG LAYOUT, POST OFFICE ROAD.",,8.0 Pm to 5.30 Am
232,AEEN-1,Bahubali Nagar,Bahubali Nagar BoViColony,weekly twice,6:00Am to 01:00Pm
233,,, Yashavanthapura Railways,4days in a week,1:00Pm to 6:00 Am
234,,,Jallahalli villege Sharadamba Nagar,weekly twice,6:00Am to 01:00Pm
235,,, Yashavanthapura Railways,4days in a week,1:00Pm to 6:00 Am
236,,,Peenya villege 1st Block & 4th Block ,4days in a week,7:00Am to 3:00Pm
237,,,Ayyappa Nagar thannira halli meetr Balc Flow,4days in a week,7:00Am to 3:00Pm
238,,,Siddartha Nagra (slum) meter ,weekly own time,8:00Am to1:00 Pm
239,,,JB Kaval Slum Abbigere main road 1st cross 4th cross,Weekly two  time,7:00Am to 3:00Pm
240,,,JB Kaval Slum  5th cross to 12th cross ,Weekly two  time,7:00Am to 3:00Pm
241,,,Sheeram Layout gurunatha layout rama temple,Weekly two  time,10:00Am to 12:30.Pm
242,,,MNT Waimack Appyy Layout ,Weekly two  time,12:30Am to 3:00 Pm
243,,,Sharadamb Nagar I.S.R.O. Bulk,weekly twice,7:00Am to 12:00Pm
244,,,Vishweshwarayya layout,Weekly two  time,7:00Am to 3:00Pm
245,,,Ragavendra layout .Lakwive layout. Kaivara Layout,Weekly two  time,7:00Am to 3:00Pm
246,,MEI Layout service station ,"St Merry ""s School. 1st To 4th cross 1 st cross  Kalyana Nagar",Weekly twice,6:00Pm to 9:00Pm
247,,,1st Main 6th cross 5th cross T.D.Halli,,6:00Pm to 9:00Pm
248,,,K.K.Road (Left & Right side),,6:00Pm to 9:00Pm
249,,,4th & 5th cross Maheshwari Nagar 1st .2nd.6th&7th cross,,3.00:Pm to 9:00 Pm
250,,, Maheshwari Nagar 1st .2nd.cross  Egal bekary Road ,,3.00:Pm to 9:00 Pm
251,,,T.D.Halli 1 to 6th cross ,,12.00:Pm to 5:00 Pm
252,,,T.D.Halli 4 to 5th  6thcross ,,12.00:Pm to 5:00 Pm
253,,,MTS colony T.D.Halli,,12.00:Pm to 5:00 Pm
254,,,MTS colony 3rd main (left & righ side),,12.00:Pm to 5:00 Pm
255,,,Coconut Garden  T.D.Halli Near Dharamasthala Hotel,,10:00Pm  to 4:00Pm
256,,,DasaraHalli old villege,,8:00Am  to 12:00Pm
257,,,k.K.Road  2nd cross /SRS Road ,,8:00Am  to 12:00Pm
258,,,Ganesh Sawmill Road /Joshi Road T Dasarahalli,,8:00Am  to 12:00Pm
259,,,Ammaji Chautry Back side,,6:00Am  to 10:00Am
260,,,5th mai Bhuvaneshwari Nagra Aspen Aprment,,6:00Am  to 10:00Am
261,,,st maRks School Road,,6:00Am  to 10:00Am
262,,,6th mai Bhuvaneshwari Nagra,,6:00Am  to 10:00Am
263,,,2nd cross 6tha main 6th b main. ,,10:00Am  to 12:00Pm
264,,,5th main 4th cross (SBIRoad),,12:00Pm  to 4:00Pm
265,,,5&6th cross Bhuvaneshwari Nagra,,4:00 Pm to 11:00 Pm
266,,,Kempegowda Nagar 1st to 4th cross,,10:00Am to 1:00PM
267,,,Kempegowda Nagar  3rd main 1st & 3rd cross Egal bekary Road  ,,10:00Am to 1:00PM
268,,,3rd main KGNagar opp/;Library  Maheshwramma Temple area /6th cross 3rd main K G Halli,,10:00Am to 1:00PM
269,,,Officers Model Colony/Kalastri Nagar/ Execl Kalyana Mantapa Road/ Grape Garden/ nrupathunga Road/Ramesh Road /urdhu school Road/ Pampa MahaKavi road /Krishne gowda layout /Kalastri Nagar Slum,,3:00Pm to 6:00 Pm
270,,,1st to 4th cross krishna gowda nagar main road Kempegowda Nagar/Ragimill road Bhuvaneshwari Nagar,,3:00Pm to 6:00 Pm
271,,,"8th main, 11th cross, Bhuvaneshwari nagar",,7AM to 12AM
272,,,"8th main, 10th cross, Bhuvaneshwari nagar",,7AM to 12AM
273,,,"8th main, 9th cross, Bhuvaneshwari nagar",,7AM to 12AM
274,,,"8th main, 22nd cross, Bhuvaneshwari nagar",,12AM to 5PM
275,,,"8th main, 24th  cross, Bhuvaneshwari nagar",,12AM to 5PM
276,,,"Opp. Shanimahatam temple, pipe line",,12AM to 5PM
277,,,Opp. Lakshmi condiments pipe line,,12AM to 5PM
278,,,"Opp. Shanimahatam temple, pipe line",,7AM to 12AM
279,,,"8th cross, Bhuvaneshwari nagar",,7AM to 12AM
280,,,"5th cross, Bhuvaneshwari nagar",,7AM to 12AM
281,,,"4th cross, Bhuvaneshwari nagar",,12AM to 5PM
282,,,"3rd cross, Bhuvaneshwari nagar",,12AM to 5PM
283,,,"1st cross, Bhuvaneshwari nagar",,12AM to 5PM
284,,,"Lakshmi temple, pipe line, Kalyan nagar",,7AM to 12AM
285,,,"14th cross, pipe line, Kalyan nagar",,7AM to 12AM
286,,,"10th cross, pipe line, Kalyan nagar",,7AM to 12AM
287,,,Behind Kalamaliyamma temple,,7AM to 12AM
288,,,Behind Kalamaliyamma temple,,12AM to 5PM
289,,,"10th main, 6th cross, kalyan nagar",,12AM to 5PM
290,,,"10th main, 6th cross, kalyan nagar",,12AM to 5PM
291,,,"Lakshmi temple, pipe line, ",,12AM to 5PM
292,,,"14th cross, pipe line, Kalyan nagar",,12AM to 5PM
293,,,"4th main, 7th cross, Ravindra nagar",Weekly once,8AM to 1PM
294,,,"4th main, 7th cross, Ravindra nagar",,8AM to 1PM
295,,,"4th main, 7th cross, Ravindra nagar",,8AM to 1PM
296,,,"4th main, 7th cross, Ravindra nagar",,8AM to 1PM
297,,,"4th main, 11th to 14th cross, Ravindra nagar/ Ayyappa nagar",,2PM to3PM 
298,,,"4th main, 11th to 14th cross, Ravindra nagar/ Ayyappa nagar",,2PM to3PM 
299,,,"4th main, 15th and 16th cross, Ravindra nagar/ Ayyappa layout, 11th, 12th, 13th cross",,3PM to 4PM
300,,,"4th main, 5th & 6th  cross, Ravindra nagar",,4PM to 5PM
301,,,"4th main, ravindra nagar, 19th to 23rd cross",,5PM to 6PM
302,,,"3rd main,  reddy layout, ravindra nagar",,6PM to 7PM
303,,,"2nd main, 7th to 10th cross ravindra nagar, reddy layout",,7PM to 8PM
304,,,"2nd main, 1st to 6th cross ravindra nagar, reddy layout",,8PM to 9PM
305,,,10th cross ayyappa layout 1st to 4th cross vijayalakshmi layout,,9PM to 12AM
306,,,"Near Shooting Banglow, 1st to 4th cross, Vijayalakshmi layout",,12AM to 3AM
307,,,"1st main, 15th cross, Prashanth nagar, Kalyan nagar",Weekly twice,7.30AM to 1.30PM
308,,,"1st main, 1st to 14th cross, Prashanth nagar, Kalyan nagar",,1.30PM to 5.30PM
309,,,"1st main, 3rd cross, Prashanth nagar, Downwords 1st main, Kalyan nagar",,7.30AM to 1.30PM
310,,,"1st main, 7th to 10th  cross, Prashanth nagar",,1.30PM to 4.30PM
311,,,"1st main, 11th to 14th  cross, Prashanth nagar",,4.30PM to 9.00PM
312,,,"2nd main,5th to 6th cross, Kalyan nagar",,4.30PM to 9.00PM
313,,,"2nd main, 11th to 14th cross, kalyan nagar",,4.30PM to 9.00PM
314,,,"10th cross, Prashanth nagar",,4.30PM to 9.00PM
315,,,"11th cross,  Prashanth nagar",,4.30PM to 9.00PM
316,,,"12th cross,  Prashanth nagar",,4.30PM to 9.00PM
317,,,"13th cross,  Prashanth nagar",,4.30PM to 9.00PM
318,,,"17th cross, Geetha school road, Prashanth nagar",,3.00PM to 7PM
319,,,"Pipe line 7th to 10th cross, Prashanth nagar",,7PM to 10.00PM
320,,,"Near Karumariyamma temple, 7th to 10th cross, Prashanth nagar",,7PM to 10.00PM
321,,,"10th to 19th cross BHEL mini colony, Kodava samja",,3.00PM to 6.00PM
322,,,"Near Mallikarjuna temple, BHEL mini colony, ",,6.00PM to8.00PM
323,,,"Mantappa road, Mallasandra, ",,8.00PM to 10.00PM
324,,,"1st cross, Shanthi Layout",,10.00PM to 12.00PM
325,,,"Lake view Defence main road, Near EX Mla House, ",,10.00PM to 12.00PM
326,,,"Opp, Booster pump, Pipe line, Muneshwara block",,10.00AM to 1.00PM
327,,,"4th main, 4th cross , Ravindra nagar",,10.00AM to 1.00PM
328,,,9th cross santhosh nagar,,1.00PM to 5.00PM
329,,,"8th cross, cross santhosh nagar",,1.00PM to 5.00PM
330,,,7th cross santhosh nagar,,1.00PM to 5.00PM
331,,,6th cross santhosh nagar,,1.00PM to 5.00PM
332,,,5th cross santhosh nagar,,1.00PM to 5.00PM
333,,,4th cross santhosh nagar,,1.00PM to 5.00PM
334,,,"2nd to 5th cross near Attilakkamma temple, Mallasandra",,7.00AM to 8.30PM
335,,,"3rd cross, mallasandra",,7.00AM to 8.30PM
336,,,"2nd Cross, mallasandra",,7.00AM to 8.30PM
337,,,Near kuvempu Collage side Roads,,8.30PM to 10.00AM
338,,,"Near Sri rama temple near Water tank, Mallasandra",,8.30PM to 10.00AM
339,,,"New Cambridge school road Ashwath katte, mallasandra",,2.00AM to 3.30AM
340,,,"Vivekananda Road, Mallasandra",,3.30AM to 5.00AM
341,,,"Main road, mallasandra, Near Narayanappa House near Garage, Shetti halli main road",,5.00AM to 6.30AM
342,,,"Shetti halli cross  Anjaneya temple, near Anand House Mallsandra, Near Henchina mane Hotel, Mallasandra",,6.30AM to 8.30AM
343,,,"Shettihalli cross, Seenappa layout, Old Junjappa temple Bananna layout, 2nd cross",,6.30AM to 8.30AM
344,,,Towards down Babanna layout,,10.00AM to 2.00PM
345,,,"Chinnamma layout, mallsandra",,2.00PM to 6.00PM
346,,,"Rangappa layout, near maket, Babanna layout",,2.00PM to 6.00PM
347,,,"29th, 30th, 31st cross, Bagalgunte",,6.00AM to  8.30AM
348,,,"23rd cross to 28th cross, Bagalgunte",,8.30AM to 11.00AM
349,,,"19th, 20th, 21st, 22nd cross, Bagalgunte",,11.00AM to 1.30PM
350,,,"18th, 18tha, 17th, 16th cross, Bagalgunte",,1.30PM to 4.30PM
351,,,11th to 15th cross Bagalgunte,,1.30PM to 4.30PM
352,,,"9th to 4th cross, Bagalgunte",,4.30PM to 6.30PM
353,,,"Bagalgunte old village, Bagalgunte",,4.30PM to 6.30PM
354,,,"Devarabavi road, Bagalgunte",,4.30PM to 6.30PM
355,,,"Phiniox school road, Bagalgunte",,6.30PM to 9.00PM
356,,,"1st to 5th cross, vijayalakshmi layout",,9.00PM to 11.00PM
357,,,"4th to 8th cross, Ragi mill road, Vijayalakshmi layout",,9.00PM to 11.00PM
358,,,Katarayanagar,,8.00AM to 7.00PM
359,,,"1st to 3rd cross vinayaka nagar, Bagalgunte",,8.00AM to 7.00PM
360,,,Coconut Garden/manjunath nagar,,8.00AM to 7.00PM
361,,,Manjunath nagar new Extn,,8.00AM to 7.00PM
362,,,Mahalakshmi nagar/ Manjunath nagar,,8.00AM to 7.00PM
363,,,"1st to  9th cross, 2nd main, Ashok nagar, Byrappa Layout",,8.00AM to 7.00PM
364,,,1st main Manjunath nagar,,8.00AM to 6.00PM
365,,,"9th cross, Saop facotry layout",,8.00AM to 6.00PM
366,,,Ganapathi Badavane/Ismail thota,,8.00AM to 6.00PM
367,,,"1st to 2nd cross sheshadri layout, Andanappa layout",,8.00AM to 6.00PM
368,,,"1st to 14th cross, Mei layout",,11.00PM to 7.00AM
369,,,Bagalgunte main road,,11.00PM to 7.00AM
370,,,Kare kallu/Brundavan layout,,11.00PM to 7.00AM
371,,,Munikondappa layout,,5.00AM to 3.00PM
372,,,Muneshwara nagar,,5.00AM to 3.00PM
373,,,Behind Indira canteen Mallasandra,,6.00PM to 12.00AM
374,,,Opp. Govt Hopital,,6.00PM to 12.00AM
375,,,Lakkanna layout,,6.00PM to 12.00AM
376,,,Defence Colony,,7.00PM to 11.30PM
377,,,"1st to 7th cross, M.S.Ramaiah layout",,8.30AM to 3.30PM
378,,,"Havnur layout, Rajareddy layout, andanappa layout",,6.00AM to 2.00PM
379,,,"Havnur layout, Defence Colony",,3.00PM to 10.00Pm
380,,,Bagalgute maramma temple,,9.00AM to 3.00PM
381,,,Gowdike hola/ Kini Layout,,9.00AM to 3.00PM
382,,,1st to 13th cross Siddehalli main road/ Vishvehswariah Layout,,6.00AM to 4.00PM
383,,,"Sheshadri layout, BTS Layout",,6.00AM to 4.00PM
384,North -2,Yelhanka New Town Service Station,"1)208 SFS, 407 SFS,
2)707 SFS, 249 CHS, Shirke Apartments,Nagarjuna apartments, ",Monday,6.00 AM to 10.00 PM
385,,,"1)Someshwara nagar,  Chikkabommasandra,
2) Judicial layout (down)",,6.00 AM to 10.00 PM
386,,,"A sector, B sector, 1 , 11 and 3rd phase, Mathru L/o, PM  Enclave, Shardanagar, ",Tuesday,6.00 AM to 10.00 PM
387,,,,,
388,,,,,
389,,,,,
390,,,"Gandhinagar (Old Town), Suggappa L/o, Yelahanka Village, Maruthinagar 1st main 15th to 25th cross, Venkatala layout ",,6.00 AM to 2.00 PM
391,,,,,
392,,,,,
393,,,,,
394,,,"1)Atturu layout, 
2) escort layout. 
3) Judicial layout,",Wednesday,9.00 AM to 10.00 PM
395,,,"4) Shirke Apartments,Nagarjuna apartments,",,
396,,,"1)Muneswara layout, 2)srigandha layout, 3)thirumalanagar",Thursday,9.00 AM to 10.00 PM
397,,,,,
398,,,,,
399,,,,,
400,,,"Vinayaka layout, Susheelamma layout ",,6.00 AM to 10.00 PM
401,,,,,
402,,,,,
403,,,"208 SFS, 407 SFS, 707 SFS, 249 CHS, Shirke Apartments,Nagarjuna apartments,",Friday,6.00 AM to 10.00 PM
404,,,"Someshwara nagar,  Chikkabommasandra, Judicial layout (down )",,6.00 AM to 10.00 PM
405,,,,,
406,,,"1)A sector, B sector, 1 , 2 and 3rd phase,",Saturday,6.00 AM to 10.00 PM
407,,,"2) Mathru  L/o, PM Enclave, Sharadanagar",,
408,,,"Gandhinagar (Old Town), Suggappa L/o, Yelahanka Village, Maruthinagar 1st main 15th to 25th cross, Venkatala layout ",,6.00 AM to 2.00 PM
409,,,"1)Atturu layout, 
2) escort layout. 
3) Judicial layout,",Sunday,9.00 AM to 3.00 AM
410,,,"Vinayaka layout, Susheelamma layout , Isaac layout, KHB puttenahally, janatha colony",,6.00 AM to 10.00 PM
411,NORTH-3,VIDYARANYAPURA,"Canara bank layout,Virupakshipura,Dhanalakshmi layout,Ganesh layout,BuddaJyothi layout,  ,telecom layout& maramma temple surroundimgs",,8.00 AM  to 11.30  PM 
412,,,"Defence layout, Narasipura  &  narasipura layout",,6.00 AM to 12.00 PM 
413,,,Doddabomsandra,,2.30 pm to 5.30 PM 
414,,,"BEL Layout 6th Block,HMT Layout 1,2,3,4,5,6 & 7 th Block",Monday ,6.00AM TO 9.30 PM 
415,,,NTI Layout & BEL 4 th Block ,Monday (Night Supply),10.00 PM  to 6.00 PM 
416,,,"Sir M.V. layout,ananda layout,Parvathamma layout ,Indian express Layout,siddi Vinayaka layout,sonnegowda layout,Kodigehalli enclave ",Monday ,7.00 pm to 7.00 AM 
417,,,"APC Layout ,Lakhe Shore Garden Bullet krishnappa layout ,Anjaneya layout,siddlingeshwara layout,Utnalappa layout,Miniswamappa layout,Veerana layout   & Thindlu ",Tuesday  ,8.00 AM  to 11.00  PM 
418,,,"Basava samithi,Jnaneshwari layout,sapthagiri layout,Gurudarshan layout & nanjappa circle surroundings",Tuesday  ,8.00 AM  to 11.00  PM 
419,,,"Canara bank layout,Virupakshipura,Dhanalakshmi layout,Ganesh layout,BuddaJyothi layout,  ,telecom layout& maramma temple surroundimgs",Wednesday ,8.00 AM  to 11.30  PM 
420,,,Doddabomsandra,,2.30 pm to 5.30 PM 
421,,,"BEL Layout 1,2,3 & 5 th Block",,6.00AM TO 7.00 PM
422,,,"Sir M.V. layout,ananda layout,Parvathamma layout ,Indian express Layout,siddi Vinayaka layout,sonnegowda layout,Kodigehalli enclave ",Thursday  ,7.00 pm to 7.00 AM 
423,,,"Defence layout, Narasipura  &  narasipura layout",,6.00 AM to 12.00 PM 
424,,,"BEL Layout 6th Block,HMT Layout 1,2,3,4,5,6 & 7 th Block", Friday,6.00AM TO 9.30 PM 
425,,,NTI Layout & BEL 4 th Block ,Friday(Night Supply),10.00 PM  to 6.00 PM 
426,,,"APC Layout ,Lakhe Shore Garden Bullet krishnappa layout ,Anjaneya layout,siddlingeshwara layout,Utnalappa layout,Miniswamappa layout,Veerana layout   & Thindlu ", Friday,8.00 AM  to 11.00  PM 
427,,,"Basava samithi,Jnaneshwari layout,sapthagiri layout,Gurudarshan layout & nanjappa circle surroundings",,8.00 AM  to 11.00  PM 
428,,,"BEL Layout 1,2,3 & 5 th Block",Saturday ,6.00AM TO 7.00 PM
429,,SINGAPURA,"kuvempu nagara 1 st & 2 nd stage, & Naidu layout ",Sunday,6.00 AM to 11.00 AM 
430,,,"Raghavendra colony, Teachers layout , MS Palya , Koyas factory & surroundings ",,1.00 PM to 6.00 PM 
431,,,"Bharath nagara, Vinayaka Nagara, maruthi Layout, Varada raja nagara, Singapura paradise, somanna layout, Seenapa layout",Monday ,6.00 AM to 2.00 PM 
432,,,"Ramachandra  pura , Maramma Block  Muniramaiah badavane , Devappa Badavane, gangamma circle , DC Layout , Muneshwara badavane, Gangamma Gudi, Cococnut garden ,Kallaathur alyout & hanuman layout",,10. 00 PM to 5.00 AM 
433,,,"Srinidhi Layout, Vaishnavi laypout, sai garden, kamath layout,  Balaji layout ", Tuesday ,10.00 PM to 5.00 AM 
434,,,"Nanjappa layout, Chamundeshwari layout, Blue Moon garden , Blue Film garden, ramanna garden .patel Pillegowda layout, ramiah layout, elumandamma Badavane ,DB Sandra",,10. 00 PM to 5.00 AM 
435,,,"Singapura village ,Singapura layout, Varadaraya swamy layout,GK.Muniyappa layout , Simhadri Layout, lakappa layout, Miniswamappa layout, Hosabalu Nagara, ashraya layout & N.Murthy layout",Wednesday ,6.00 AM to 2.00 PM 
436,,,BEL 2 nd Block ,,2.00 PM TO 9.00 PM
437,,,"Bharath nagara, Vinayaka Nagara, maruthi Layout, Varada raja nagara, Singapura paradise, somanna layout, Seenapa layout",Thursday  ,6.00 AM to 2.00 PM 
438,,,"Raghavendra colony, Teachers layout , MS Palya , Koyas factory & surroundings ",,1.00 PM to 6.00 PM 
439,,,"Ramachandra  pura , Maramma Block  Muniramaiah badavane , Devappa Badavane, gangamma circle , DC Layout , Muneshwara badavane, Gangamma Gudi, Cococnut garden ,Kallaathur alyout & hanuman layout",Monday to Friday ,10. 00 PM to 5.00 AM 
440,,,"Nanjappa layout, Chamundeshwari layout, Blue Moon garden , Blue Film garden, ramanna garden .patel Pillegowda layout, ramiah layout, elumandamma Badavane ,DB Sandra",Saturday ,10. 00 PM to 5.00 AM 
441,,,BEL 2 nd Block ,,2.00 PM TO 9.00 PM
442,,SAHAKARANAGARA,"AMCO LAYOUT, Dee Enclave, Hosahatti   Layout, BB Nagara, Sonnegowda layout, Maruthi Nagara,Hebbal Sarovara layout",Sunday  ,5.30 PM to 12.30 AM 
443,,,"Devi nagar,jalgeramma temple road,ganesh temple road, kannuramma layout. Arch road, Muneshwara Block. LKR nagar CPA Layout ",Monday ,6.30 AM to 2.00 PM 
444,,,"Bhadrappa layout, maruthi nagara , Shantinekethan School road ",,2.30 PM to 8.30 PM
445,,,"Tata nagara, Kodigehalli, ram mandira road, hanumiah badavane,",Tuesday ,2.30 PM to 12.30 AM 
446,,," Balaji layout ,GR Kalyana mantapa road,meha hertz road, kalpataru apartment road, Ghee factory roadNarayana school  road & Kodigehalli Main road  & Angalaparameshwari temple road",,7.30 AM TO 11.30 PM
447,,,"sahakar Nagar B,C & D Block,CQAL layout ",,8.30 AM to 10.30 PM 
448,,,"AMCO LAYOUT, Dee Enclave, Hosahatti   Layout, BB Nagara, Sonnegowda layout, Maruthi Nagara,Hebbal Sarovara layout",Wednesday ,5.30 PM to 12.30 AM 
449,,,"Devi nagar,jalgeramma temple road,ganesh temple road, kannuramma layout. Arch road, Muneshwara Block. LKR nagar CPA Layout ",Thursday  ,6.30 AM to 2.00 PM 
450,,,"Bhadrappa layout, maruthi nagara , Shantinekethan School road ",,2.30 PM to 8.30 PM
451,,,"Tata nagara, Kodigehalli, ram mandira road, hanumiah badavane,", Friday,2.30 PM to 12.30 AM 
452,,," Balaji layout ,GR Kalyana mantapa road,meha hertz road, kalpataru apartment road, Ghee factory roadNarayana school  road & Kodigehalli Main road  & Angalaparameshwari temple road",,7.30 AM TO 11.30 PM
453,,,"sahakar Nagar B,C & D Block,CQAL layout ",,8.30 AM to 10.30 PM 
454,,,Amco layout ,Saturday ,5.30 PM to 11.30 PM 
455,,JAKKUR,"Sahakar nagara E ,F G, A1 & A2 Block",Sunday ,7.00AM TO 11.30 PM 
456,,,"Sanjeevini  Nagara, Shanti vana ",,6.30  AM to 3.30 PM 
457,,,"mazjid road,Muniswamy gowda layout, Venktegowda layout 3 ed cross. ",,7. 00 AM to 1.00 PM 
458,,,"Amruth magara A ,B & C Sectors,Bhuvaneshwari Nagara & Verma layout ",,6.00 AM to 11.00 PM 
459,,,"Amruthalli Village , Bhadrappa layout, Hotappa layout, kashi nagara Ramshetty layout,",,6.00 AM to 7.00 PM 
460,,,"Ramiah North City , Manjunath layout, Byraveshvara layout (Nanda Gokula E-1))  ",,6.00 AM to 5.00 PM 
461,,,"Jakkur layout, Navya Nagara,MCHS Layout,BGS Layout,Behind JNC ,Telecom layout, Shivram karanth Nagara Phase 2",Monday ,9.30 AM to 11.30 PM 
462,,,"Netaji layout,vayu Nandana badavane, Kuvenpu badavane ",,7. 00 AM to 1.00 PM ( supply from coffee Board GLR)
463,,,Coffee Board layout ,,6.00 AM to 10.00pm( supply from coffee Board layout GLR)
464,,,Veerana palya ,,10.00 AM TO 4.00 PM 
465,,,"Talacauvery layout , ",Tuesday ,6.30  AM to 3.30 PM 
466,,,"Venktegowda layout,Pampa  Layout,Chiranjeevi layout ",,6.30  AM to 10..00 PM
467,,,Coffee Board layout ,,6.00 AM to 10.00pm( supply from coffee Board layout GLR)
468,,,"Munigurappa layout, Renuka yelaamma temple road, Kondappa layout, kalappa layout and Kalappa layout govt. school surroundings  , Hoysala layout, Varadaraju layout, Hoodi layout , L  &  T layout , & janatha Colony ,PADMA TENT ROAD ",,6.00 AM to 10.00 PM 
469,,,"Chanukya layout, Colony, Munivenkatappa layout ",,1.00 PM to 9.00 PM
470,,,"Ramiah North City , Manjunath layout, Byraveshvara layout (Nanda Gokula E-1))  ",,6.00 AM to 5.00 PM 
471,,,A2 Block Shakara Nagara,,7.00 AM to 2.30 PM 
472,,,"Sahakar nagara E ,F G, A1 & A2 Block",Wednesday ,7.00AM TO 11.30 PM 
473,,,"Sanjeevini  Nagara, Shanti vana ",,6.30  AM to 3.30 PM 
474,,,"mazjid road,Muniswamy gowda layout, Venktegowda layout 3 ed cross. ",,7. 00 AM to 1.00 PM 
475,,,"Amruth magara A ,B & C Sectors,Bhuvaneshwari Nagara & Verma layout ",,6.00 AM to 11.00 PM 
476,,," sondegoppa Layout  , ayyappa temple road &  Vinayaka layout ",,6.00 AM to 3.00 PM  ( supply from coffee Board layout GLR)
477,,,"Amruthalli Village , Bhadrappa layout, Hotappa layout, kashi nagara Ramshetty layout,",,6.00 AM to 7.00 PM 
478,,,"Jakkur layout, Navya Nagara,MCHS Layout,BGS Layout,Behind JNC ,Telecom layout, Shivram karanth Nagara Phase 2",Thursday  ,9.30 AM to 11.30 PM 
479,,,"Netaji layout,vayu Nandana badavane, Kuvenpu badavane ",,7. 00 AM to 1.00 PM ( supply from coffee Board GLR)
480,,,"Kariyanna palya,",,3.00PM to 7.00 PM
481,,,Veerana palya ,,10.00 AM TO 4.00 PM 
482,,,Talacauvery layout , Friday,6.30  AM to 3.30 PM 
483,,,"Venktegowda layout,Pampa  Layout,Chiranjeevi layout ",,6.30  AM to 10..00 PM
484,,,Coffee Board layout ,,6.00 AM to 10.00pm( supply from coffee Board layout GLR)
485,,,"Munigurappa layout, Renuka yelaamma temple road, Kondappa layout, kalappa layout and Kalappa layout govt. school surroundings  , Hoysala layout, Varadaraju layout, Hoodi layout , L  &  T layout , & janatha Colony ,PADMA TENT ROAD ",,6.00 AM to 10.00 PM 
486,,,"Kariyanna palya,",,3.00PM to 7.00 PM
487,,,"Chanukya layout, Colony, Munivenkatappa layout ",,1.00 PM to 9.00 PM
488,,,"Ramiah North City , Manjunath layout, Byraveshvara layout (Nanda Gokula E-1))  ",,6.00 AM to 5.00 PM 
489,,,A2 Block Shakara Nagara,,7.00 AM to 2.30 PM 
490,,,Shivram karanth nagara Phase 1 ,Saturday ,5.30 PM to 11.30 PM 
491,,,"Talacauvery layout , ",,6.30  AM to 3.30 PM 
492,,," sandyagappa Layout  , ayyappa temple road &  Vinayaka layout ",,6.00 AM to 3.00 PM  ( supply from coffee Board layout GLR)
493,NorthEast-2,K.G.Tower,Sadashivanagar,Day 1,2:00am to 7:00am
494,,,Rajamahal Vilas,,2:00am to 7:00am
495,,,Lower Palace Orchards,,2:00am to 7:00am
496,,,Venkatarangapura,,1:00am to 8:30am
497,,,Kempaiah Block,,1:00am to 8:30am
498,,,Muniveerappa Block,,1:00am to 8:30am
499,,,Vyalikaval,,1:00am to 8:30am
500,,,Jabbar Block,,1:00am to 8:30am
501,,,Vasanthappa Block,,1:00am to 8:30am
502,,,C.K.Street,,1:00am to 8:30am
503,,,A.N. Block,,1:00am to 8:30am
504,,,Doddabyrappa Street,,1:00am to 8:30am
505,,,Muneshwara Block,,1:00am to 8:30am
506,,,Kempanna Brother Layout,,1:00am to 8:30am
507,,,D. Ramaiah Layout,,1:00am to 8:30am
508,,,"1st & 2nd Main Road, P.G.Halli",,1:00am to 8:30am
509,,,Vyalikaval- From 3rd Main to 8th Main Road,,1:00am to 8:30am
510,,Kumara Park,Neharunagar - 1st to 4th Cross,,4:00am to 7:00am
511,,,Risildar Street Mainroad & Cross Roads,,4:00am to 7:00am
512,,,"Old Savar Line, S.S.Puram- 1st to 5th Cross",,4:00am to 7:00am
513,,,"Subedar Chathram Road, Sheshadripuram",,4:00am to 7:00am
514,,,Hanumanthappa Colony,,4:00am to 7:00am
515,,,"Shastrinagar, Sanjaygandhinagar",,4:00am to 7:00am
516,,,"1st to 5th Cross, Jakkarayanakere -Near Old Tank",,4:00am to 7:00am
